value, finger
52,2
51,1
52,2
51,1
52,3
47,2
45,2
50,3
48,2
45,4
40,4
45,5
36,3
40, 5
45,3
46,4
40,1
44,1
40,2
44,4
47,4
48,4
40,3
45,3
40,3
